Timestamp,Machine ID,Operator ID,Engine Hours,Fuel Used (L),Load Cycles,Idling Time (min),Seatbelt Status,Safety Alert Triggered,Energy Used (kWh),Working Time (min),Powered Time (min)
2025-05-01 08:00:00,BH001,OP1011,2212.5,12.6,17,24,fastened,No,,96,120
2025-05-01 08:00:00,BH002,OP1012,3107.0,13.5,23,15,fastened,No,,105,120
2025-05-01 08:00:00,DZ001,OP1009,4404.3,32.6,4,30,fastened,No,,90,120
2025-05-01 08:00:00,DZ002,OP1010,9312.8,33.8,3,27,fastened,No,,93,120
2025-05-01 08:00:00,EXC001,OP1001,1525.5,8.1,11,25,fastened,No,,95,120
2025-05-01 08:00:00,EXC002,OP1002,6414.0,24.5,9,25,fastened,No,,90,120
2025-05-01 08:00:00,EXC003,OP1012,3892.4,25.2,12,25,fastened,No,,95,120
2025-05-01 08:00:00,EXC004,OP1004,414.7,,18,17,fastened,No,0.0,103,120
2025-05-01 08:00:00,EXC005,OP1013,290.1,,12,29,fastened,No,0.0,91,120
2025-05-01 08:00:00,EXC006,OP1006,8122.9,22.8,12,34,fastened,Yes,,86,120
2025-05-01 08:00:00,WL001,OP1007,5232.2,19.5,29,49,fastened,No,,71,120
2025-05-01 08:00:00,WL002,OP1008,7013.6,23.2,39,32,fastened,No,,88,120
2025-05-01 10:00:00,BH001,OP1011,2214.5,8.9,8,57,fastened,Yes,,51,120
2025-05-01 10:00:00,BH002,OP1012,3109.0,12.5,12,25,fastened,No,,95,120
2025-05-01 10:00:00,DZ001,OP1009,4406.3,36.9,6,12,fastened,No,,100,120
2025-05-01 10:00:00,DZ002,OP1010,9314.8,32.8,1,28,fastened,No,,88,120
2025-05-01 10:00:00,EXC001,OP1001,1527.5,7.7,9,25,fastened,No,,85,120
2025-05-01 10:00:00,EXC002,OP1002,6416.0,20.9,5,44,fastened,Yes,,72,120
2025-05-01 10:00:00,EXC003,OP1012,3894.4,24.2,12,22,fastened,No,,87,120
2025-05-01 10:00:00,EXC004,OP1004,416.5,,10,12,fastened,No,32.5,84,107
2025-05-01 10:00:00,EXC005,OP1013,292.1,,8,20,fastened,No,0.0,94,120
2025-05-01 10:00:00,EXC006,OP1006,8124.9,25.2,12,17,fastened,No,,94,120
2025-05-01 10:00:00,WL001,OP1007,5234.2,21.3,20,38,fastened,No,,78,120
2025-05-01 10:00:00,WL002,OP1008,7015.6,19.8,19,42,fastened,No,,66,120
2025-05-01 12:00:00,BH001,OP1011,2215.8,7.0,9,23,fastened,No,,52,75
2025-05-01 12:00:00,BH002,OP1012,3110.2,7.7,5,15,fastened,No,,53,75
2025-05-01 12:00:00,DZ001,OP1009,4407.6,24.4,2,7,fastened,No,,68,75
2025-05-01 12:00:00,DZ002,OP1010,9316.0,24.5,3,6,fastened,No,,69,75
2025-05-01 12:00:00,EXC001,OP1001,1528.6,4.9,10,9,fastened,No,,58,67
2025-05-01 12:00:00,EXC002,OP1002,6417.2,14.2,3,17,fastened,No,,50,75
2025-05-01 12:00:00,EXC003,OP1012,3895.6,15.8,8,14,fastened,No,,61,75
2025-05-01 12:00:00,EXC004,OP1004,417.2,,2,15,fastened,No,179.5,26,44
2025-05-01 12:00:00,EXC005,OP1013,293.4,,13,14,fastened,No,30.0,61,75
2025-05-01 12:00:00,EXC006,OP1006,8126.2,12.8,8,28,fastened,No,,47,75
2025-05-01 12:00:00,WL001,OP1007,5235.4,10.9,18,37,fastened,No,,38,75
2025-05-01 12:00:00,WL002,OP1008,7016.8,13.8,18,24,fastened,No,,51,75
2025-05-01 14:00:00,BH001,OP1011,2217.8,13.8,21,8,fastened,Yes,,102,120
2025-05-01 14:00:00,BH002,OP1012,3111.1,4.9,9,12,fastened,No,,37,49
2025-05-01 14:00:00,DZ001,OP1009,4409.0,25.7,4,15,fastened,No,,72,87
2025-05-01 14:00:00,DZ002,OP1010,9318.0,37.5,4,12,fastened,No,,102,120
2025-05-01 14:00:00,EXC001,OP1001,1530.4,7.4,12,21,fastened,No,,85,106
2025-05-01 14:00:00,EXC002,OP1002,6419.2,20.4,10,47,fastened,No,,73,120
2025-05-01 14:00:00,EXC003,OP1012,3897.2,17.2,12,26,fastened,No,,64,90
2025-05-01 14:00:00,EXC004,OP1004,419.2,,7,17,fastened,No,0.0,92,120
2025-05-01 14:00:00,EXC005,OP1013,295.0,,10,4,fastened,No,0.0,88,98
2025-05-01 14:00:00,EXC006,OP1006,8128.2,23.3,7,26,fastened,No,,85,120
2025-05-01 14:00:00,WL001,OP1007,5237.4,25.5,32,19,unfastened,Yes,,95,120
2025-05-01 14:00:00,WL002,OP1008,7018.8,24.7,35,21,fastened,No,,92,120
2025-05-01 16:00:00,BH001,OP1011,2218.8,6.4,8,12,fastened,No,,48,60
2025-05-01 16:00:00,BH002,OP1012,3111.1,0.0,0,0,fastened,No,,0,0
2025-05-01 16:00:00,DZ001,OP1009,4409.0,0.0,0,0,fastened,No,,0,0
2025-05-01 16:00:00,DZ002,OP1010,9318.7,11.9,3,8,fastened,No,,32,40
2025-05-01 16:00:00,EXC001,OP1001,1530.4,0.0,0,0,fastened,No,,0,0
2025-05-01 16:00:00,EXC002,OP1002,6420.2,9.7,4,25,fastened,No,,35,60
2025-05-01 16:00:00,EXC003,OP1012,3897.2,0.0,0,0,fastened,No,,0,0
2025-05-01 16:00:00,EXC004,OP1004,420.0,,8,4,fastened,No,25.0,43,50
2025-05-01 16:00:00,EXC005,OP1013,295.0,,0,0,fastened,No,0.0,0,0
2025-05-01 16:00:00,EXC006,OP1006,8129.2,11.3,6,18,fastened,No,,42,60
2025-05-01 16:00:00,WL001,OP1007,5238.4,10.8,15,18,fastened,No,,36,60
2025-05-01 16:00:00,WL002,OP1008,7019.8,11.4,12,18,fastened,No,,42,60
2025-05-02 08:00:00,BH001,OP1011,2220.8,13.4,21,17,fastened,No,,103,120
2025-05-02 08:00:00,BH002,OP1012,3113.1,12.4,16,25,fastened,No,,95,120
2025-05-02 08:00:00,DZ001,OP1009,4411.0,29.2,6,42,fastened,Yes,,78,120
2025-05-02 08:00:00,DZ002,OP1010,9320.7,32.3,3,32,fastened,No,,88,120
2025-05-02 08:00:00,EXC001,OP1001,1532.4,8.2,15,24,fastened,No,,96,120
2025-05-02 08:00:00,EXC002,OP1007,6422.2,23.5,8,32,fastened,No,,88,120
2025-05-02 08:00:00,EXC003,OP1003,3899.2,24.2,14,28,fastened,No,,92,120
2025-05-02 08:00:00,EXC004,OP1014,422.0,,8,32,fastened,No,0.0,88,120
2025-05-02 08:00:00,EXC005,OP1005,297.0,,9,64,unfastened,Yes,0.0,56,120
2025-05-02 08:00:00,EXC006,OP1015,8131.2,25.3,11,23,fastened,Yes,,97,120
2025-05-02 08:00:00,WL001,OP1007,5240.4,19.2,24,52,fastened,No,,68,120
2025-05-02 08:00:00,WL002,OP1008,7021.8,20.5,34,46,fastened,No,,74,120
2025-05-02 10:00:00,BH001,OP1011,2222.8,13.5,19,13,fastened,No,,102,120
2025-05-02 10:00:00,BH002,OP1012,3115.1,12.0,11,32,fastened,No,,88,120
2025-05-02 10:00:00,DZ001,OP1009,4413.0,32.8,5,23,fastened,No,,85,120
2025-05-02 10:00:00,DZ002,OP1010,9322.7,36.8,5,20,fastened,Yes,,95,120
2025-05-02 10:00:00,EXC001,OP1001,1534.4,8.9,17,8,fastened,No,,101,120
2025-05-02 10:00:00,EXC002,OP1007,6424.2,24.4,12,21,fastened,No,,89,120
2025-05-02 10:00:00,EXC003,OP1003,3901.2,20.0,14,48,fastened,No,,72,120
2025-05-02 10:00:00,EXC004,OP1014,424.0,,8,25,fastened,No,0.0,85,120
2025-05-02 10:00:00,EXC005,OP1005,299.0,,12,16,fastened,No,0.0,93,120
2025-05-02 10:00:00,EXC006,OP1015,8133.2,20.1,11,48,unfastened,No,,72,120
2025-05-02 10:00:00,WL001,OP1007,5242.4,20.6,31,43,fastened,No,,72,120
